Unnamed: 0	domain	subdomain	ko_KR	en_XX	category	pick_num	papago_en2ko	papago_ko2en	google_en2ko	google_ko2en	T5_ko2en	T5_en2ko
10	은행관련	ibk	10. “인증서 클라우드서비스”라 함은 가입자 또는 타 공인인증기관 가입자의 인증서를 결제원 클라우드 보관서버에 저장하고, 필요시 클라우드 보관서버에 저장된 인증서를 이용하거나 가입자의 설비로 이동하여 인증서를 이용할 수 있도록 제공하는 서비스를 말한다.	10. “Certificate cloud service” refers the service to save the certificate of Subscriber or other certification authorities in the cloud storage server of KFTC, and if necessary, provides the service to use the certificate saved on the cloud storage server or move to the facility of Subscriber to use the certificate.	ibk	0	"10. ""인증 클라우드 서비스""란 가입자의 인증서를 공정위의 클라우드 저장 서버에 저장하거나, 필요한 경우 클라우드 저장 서버에 저장된 인증서를 사용하거나 가입자의 시설로 이동하여 인증서를 사용하는 서비스를 말합니다."	"10. The term ""Certificate Cloud Service"" means a service that stores the certificate of a subscriber or other authorized certification authority in the payment source cloud storage server and, if necessary, moves to the subscriber's facility to use the certificate."	"10. ""인증서 클라우드 서비스""라 함은 가입자 또는 기타 인증기관의 인증서를 결제원의 클라우드 스토리지 서버에 저장하고, 필요한 경우 클라우드 스토리지 서버에 저장된 인증서를 사용하거나 시설로 이전하는 서비스를 제공하는 서비스를 말합니다. 인증서를 사용하려면 가입자의"	10. “Certificate Cloud Service” means to store the certificate of a subscriber or other accredited certification authority subscriber in the cloud storage server of KFTC, and use the certificate stored in the cloud storage server if necessary or move to the subscriber’s facility to use the certificate. refers to the services provided.	"10. The term ""certificate cloud service"" means a service that stores certificates of subscribers or subscribers of other certified certification agencies in the payment source cloud storage server, and if necessary, uses the certificate stored in the Cloud storage server or moves to the subscriber's facility to use the certificate."	10. 10. ‘인증클라우드 서비스’란 가입자 또는 다른 인증당국의 인증서를 KFTC 클라우드 저장서버에 저장하는 서비스를 말하며, 필요한 경우 클라우드 저장 서버에 저장된 인증서를 사용하거나 가입자 시설로 이동하여 인증서를 사용할 수 있도록 제공하는 서비스를 말한다.
11	은행관련	ibk	① 이 약관은 yessign 홈페이지에 공시함으로써 효력이 발생한다.	① These Provisions become effective as from the date of the notification on the yessign homepage.	ibk	0	① 이 조항은 서명 홈페이지에 공지된 날부터 효력을 발휘한다.	① These terms and conditions take effect by disclosing them on the yesign website.	① 이 약관은 yessign 홈페이지에 공지한 날부터 시행합니다.	① These terms and conditions become effective when they are disclosed on the yessign website.	First, this terms and conditions are effective by disclosure on the yessign website.	1 이러한 규정들은 예신호 홈페이지의 통지일로부터 효력이 발생한다.
12	은행관련	ibk	② 결제원이 이 약관을 변경할 때에는 시행일 1개월 전 홈페이지에 변경내용을 게시하여야 하며, 가입자가 시행일 전까지 이의를 제기하지 않으면 약관변경을 승인한 것으로 간주한다. 다만, 변경된 약관에 동의하지 않을 경우인증서 폐지 등 서비스 이용을 중단할 수 있다.	② When KFTC When KFTC modifies this Agreement, the contents of modification shall be posted on the homepage at least 1 month prior to the date of implementation, and unless any Subscriber raises any objection prior to the date of implementation, the modification of the Agreement shall be considered as approved. Provided, however, in the event that the modified Agreement is not consented, the service use, such as, closure of the certificate, may be suspended.	ibk	0	② 공정위가 본 약관을 변경할 때에는 변경내용을 시행일 1개월 전까지 홈페이지에 게시하여야 하며, 시행일 이전에 가입자가 이의를 제기하지 않는 한 약관변경은 승인된 것으로 본다. 다만, 변경된 약관의 동의가 없는 경우에는 인증서 해지 등 서비스 이용을 중지할 수 있다.	② When the payment source changes these terms and conditions, the change shall be posted on the website one month before the effective date, and if the subscriber does not raise an objection before the effective date, the change of the terms and conditions shall be considered approved. However, if you do not agree to the changed terms and conditions, you may stop using the service, such as the abolition of the certificate.	② 결제원은 결제원이 이 약관을 개정할 경우 그 개정내용을 적용일자 최소 1개월 이전부터 홈페이지에 게시하며, 적용일 이전에 가입자가 이의를 제기하지 아니하는 경우에는 개정약관의 내용을 그대로 적용합니다. 승인된 것으로 간주됩니다. 다만, 변경된 약관에 동의하지 않을 경우 인증서 해지 등 서비스 이용이 중단될 수 있습니다.	② When KFTC changes these Terms and Conditions, the change must be posted on the website one month prior to the effective date, and if the subscriber does not raise an objection before the effective date, the change in the Terms and Conditions is deemed approved. However, if you do not agree to the changed terms and conditions, you may stop using the service, such as revocation of the certificate.	When the payment authority amends this terms and conditions, he/she shall post the details of the change on the website one month before the date of enforcement, and if the subscriber does not raise an objection before the implementation date, it shall be deemed to have approved the change of terms or conditions. However, if you do not agree with the changed terms and conditions, you may stop using the service, such as abolishing the certificate.	2, KFTC가 이 협정을 수정할 때에는 변경내용을 시행일 1개월 전에 홈페이지에 게시하여야 하며, 가입자가 시행일 이전에 이의를 제기하지 않는 한 협정의 변경은 승인으로 본다. 다만, 수정된 협정이 동의되지 않은 경우에는 증명서의 폐쇄 등 서비스 이용을 중지할 수 있다.
13	은행관련	ibk	③ 제2항의 변경내용이 가입자에게 불리한 경우 결제원은 이를 가입자가사전에 제공한 E-mail 등으로 시행일 1개월 전에 개별 통지하여야 한다. 다만, 가입자가 E-mail을 받지 아니하겠다는 의사를 명시적으로 표시한 경우에는그러하지 아니하다.	③ In the event that the contents of modification under Clause 2 is adverse to Subscriber, KFTC shall individually notified to Subscribers at least 1 month prior to the date of implementation via e-mail and others as provided in advance. Provided, however, in the event that Subscriber expressly indicated its intent not to receive such e-mail, it shall not be the case.	ibk	0	③ 공정위는 제2조에 따른 변경내용이 가입자에게 불리한 경우 시행일 1개월 전까지 가입자에게 사전제공된 이메일 등을 통해 개별적으로 통보해야 한다. 다만, 가입자가 그 메일을 수신하지 아니할 의사를 명시적으로 표시한 경우에는 그러하지 아니하다.	③ Where the details of the change referred to in paragraph (2) are unfavorable to the subscriber, the settlement agency shall notify the subscriber individually one month before the effective date by e-mail, etc. provided in advance by the subscriber. However, this is not the case if the subscriber explicitly expresses his intention not to receive e-mail.	③ 결제원은 제2항에 따른 개정 내용이 가입자에게 불리한 경우에는 시행일 1개월 전까지 사전에 공지한 전자우편 등의 방법으로 가입자에게 개별 통지합니다. 다만, 가입자가 그러한 전자우편을 수신하지 아니할 의사를 명시적으로 표시한 경우에는 그러하지 아니합니다.	③ If the changes in Paragraph 2 are unfavorable to subscribers, KFTC shall individually notify them by e-mail, etc. provided by the subscriber in advance one month prior to the effective date. However, this is not the case when the subscriber has explicitly expressed his/her intention not to receive e-mails.	Where the details of the change referred to in paragraph (2) are disadvantageous to the subscriber, the payment provider shall individually notify it one month prior to the date of implementation by E-mail, etc. provided in advance by the subscriber. However, this is not the case if the subscriber explicitly expresses his/her intention not to receive E-mail.	3 제2항의 변경 내용이 가입자에게 불리한 경우, KFTC는 사전제공된 바와 같이 시행일 1개월 전까지 개별적으로 가입자에게 통보하여야 한다. 다만, 이용자가 이러한 이메일을 받지 않겠다는 의사를 표시한 경우에는 그러하지 아니하다.
14	은행관련	ibk	④ 결제원은 제3항의 통지를 할 경우 “가입자가 변경에 동의하지 아니한 경우통지를 받은 날로부터 1개월 이내에 서비스 이용중단을 요청할 수 있으며, 서비스 이용중단 의사를 표시하지 하지 아니한 경우에는 변경에 동의한 것으로 본다.”라는 취지의 내용을 포함하여야 한다.	④ In the event that the notice under Clause 3 is made, KFTC shall include the contents of followings; “in the event that Subscriber fails to consent to the modification, it may request to suspend the service use within 1 month from the date of receiving the notice, and in the event that the intend to suspend the service use is not indicated, it shall be considered as consented to the modification.”	ibk	0	"④ 공정위는 제3조에 따른 통지가 이루어진 경우 다음 각 호의 내용을 포함하여야 하며, ""가입자가 변경사항에 동의하지 아니하는 경우에는 통지를 받은 날로부터 1개월 이내에 서비스 이용의 정지를 요청할 수 있으며, 서비스 이용의 정지의 의사가 표시되지 아니하는 경우에는 다음과 같이 하여야 한다.수정에 동의한 것으로 간주됩니다."""	"④ When the payment officer notifies the notice under paragraph (3), he/she shall include the statement, ""If the subscriber does not agree to the change, he/she may request the suspension of service use within one month from the date of receipt of the notification, and if he/she does not indicate the intention to suspend service use, he/she shall be deemed to have agreed to the change."""	"④ 결제원은 제3항의 통지를 하는 경우 다음 각 호의 내용을 포함합니다. “가입자가 변경에 동의하지 않는 경우 통지를 받은 날부터 1개월 이내에 서비스 이용정지를 요청할 수 있으며, 서비스 이용정지의 의사표시가 없는 경우에는 수정에 동의한 것으로 간주합니다."""	④ When the KFTC notifies in Paragraph 3, “If the subscriber does not agree to the change, he/she may request to suspend the use of the service within one month from the date of receipt of the notice. It shall be deemed to be.”	"In the event of a notice under paragraph (3), the payment authority shall include the contents of ""If the subscriber does not agree to the change, he/she may request the suspension of service use within one month from the date of receipt of the notification, and if he or she does not express his/her"	4 공정위는 제3항에 따른 통지가 이루어진 경우에는 다음 각 호의 내용을 포함하여야 한다. “이용자가 변경에 동의하지 아니한 경우에는 통지를 받은 날부터 1개월 이내에 서비스 이용정지를 요청할 수 있으며, 변경에 대한 동의가 없는 경우에는 변경에 관한 동의로 본다.
15	은행관련	ibk	⑤ 가입자가 제3항의 통지를 받은 날로부터 1개월 이내에 서비스 이용 중단의사를 표시하지 아니한 경우에는 변경에 동의한 것으로 본다.	⑤ In the event that Subscriber fails to indicate its intent to suspend the service use within 1 month from the date of receiving the notice under Clause 3, it shall be considered as consented to the modification.	ibk	0	⑤ 가입자가 제3항에 따른 통지를 받은 날로부터 1개월 이내에 서비스 이용 정지 의사를 표시하지 않은 경우에는 그 변경에 동의한 것으로 본다.	⑤ Where a subscriber fails to indicate his/her intention to suspend the use of the service within one month from the date of receiving the notification under paragraph (3), he/she shall be deemed to have agreed to the change.	⑤ 가입자가 제3항의 통지를 받은 날부터 1개월 이내에 서비스 이용정지의 의사표시를 하지 아니하면 변경에 동의한 것으로 봅니다.	⑤ If the subscriber does not express his/her intention to suspend service use within one month from the date of receipt of the notice under Paragraph 3, it shall be deemed to have agreed to the change.	If a subscriber does not express his/her intention to suspend the use of the service within one month from the date of receipt of notification under paragraph (3), he/she shall be deemed to have agreed to the change.	5 가입자가 제3항의 통지를 받은 날부터 1개월 이내에 서비스 이용정지 의사를 표시하지 아니한 경우에는 변경에 대한 동의로 본다.
16	은행관련	ibk	① 이 약관에 명시되지 아니한 사항에 대해서는 전자서명 관계법령 및 준칙에따른다.	① Other matters that are not stipulated in these provisions shall be governed by laws related to electronic signature and CPS.	ibk	0	① 그 밖에 이 조항에 규정되지 아니한 사항은 전자서명 및 CPS 관련 법률에 의한다.	① Matters not specified in these terms and conditions shall be governed by the laws and regulations related to electronic signatures.	① 그 밖에 이 규정에서 정하지 아니한 사항에 대하여는 전자서명 및 CPS에 관한 법률에서 정하는 바에 따릅니다.	① For matters not specified in these terms and conditions, the laws and regulations related to digital signatures shall apply.	First, matters not specified in this terms and conditions shall be governed by the relevant laws and regulations related to electronic signature.	1 그 밖에 이 조항에 규정되지 아니한 사항은 전자서명 및 CPS 관련 법률에 따른다.
17	은행관련	ibk	② 결제원은 준칙을 가입자 및 이용자에게 공개하고 조회할 수 있도록 한다.	② KFTC shall disclose the CPS to Subscriber, Applicant for Subscription, and User for reference.	ibk	0	② 공정위는 CPS를 구독자, 구독 신청자 및 사용자에게 참조용으로 공개해야 한다.	② The payment agency shall disclose and inquire the rules to subscribers and users.	② 결제원은 CPS를 가입자, 가입신청자 및 이용자가 참고할 수 있도록 공개합니다.	② KFTC discloses its rules to subscribers and users and allows them to inquire.	Second, the payment provider shall disclose the rules to subscribers and users and allow them to inquire.	2 KFTC는 CPS를 가입자, 가입신청자 및 사용자에게 공개하여 참고하여야 한다.
18	은행관련	ibk	① 가입신청자는 등록대행기관을 직접 방문하여 본인확인을 거친 후 전자금융거래 가입신청을 하여야 한다. 다만, 제2항에 따라 이미 등록대행기관의 신원확인을 마친 기존 전자금융거래 가입자는 그러하지 아니한다.	① The applicant for subscription shall subscribe for electronic financial service after personal identification is done by visiting a Registration Authority. However, this provision shall not apply to the existing electronic financial service user who has undergone personal identification by Registration Authority pursuant to Clause (2).	ibk	0	① 가입신청자는 등록기관에 방문하여 본인확인을 한 후 전자금융서비스를 신청하여야 한다. 다만, 제2항에 따라 등록기관의 개인신분을 받은 기존 전자금융서비스 이용자에게는 이 규정을 적용하지 아니한다.	① An applicant for membership shall visit a registration agency in person, verify his/her identity, and apply for membership in electronic financial transactions. However, this shall not apply to existing electronic financial transactions subscribers who have already verified the identity of the registration agency pursuant to paragraph (2).	① 가입신청자는 등록대행기관을 방문하여 본인 확인 후 전자금융서비스에 가입하여야 합니다. 다만, 제2항에 따라 등록기관으로부터 본인확인을 받은 기존 전자금융서비스 이용자에 대해서는 그러하지 아니하다.	① An applicant for subscription must personally visit a registration agency and apply for electronic financial transaction subscription after verifying his/her identity. However, this does not apply to existing electronic financial transaction subscribers who have already verified their identity with a registration agency pursuant to Paragraph 2.	First, the applicant shall visit the registration agency in person and apply for an electronic financial transaction after verifying his/her identity. However, this is not the case for existing electronic financial transaction subscribers who have already completed identification of registration agency pursuant to paragraph (2).	1 가입신청자는 등록청 방문으로 개인확인을 한 후 전자금융서비스에 가입하여야 한다. 다만, 제2항에 따라 등록청의 개인확인을 받은 기존 전자금융서비스 이용자에 대하여는 이 규정을 적용하지 아니한다.
19	은행관련	ibk	② 등록대행기관은 법에 따라 가입신청자의 신원을 확인한다. 다만, 등록대행기관은 안전성 제고를 위해 단말기 지정 또는 추가인증 등을 통해 가입신청자의신원확인을 강화할 수 있다.	② The Registration Authority shall confirm the identity of an applicant for subscription in accordance with the Act. However, the Registration Authority may strengthen the verification process for the applicant for subscription through the designation of device or additional certification process to increase the safety.	ibk	0	② 등록 기관은 법에 따라 가입 신청자의 신원을 확인해야 한다. 다만, 등록청은 안전성을 높이기 위해 기기 지정이나 추가 인증절차를 통해 청약신청자에 대한 검증절차를 강화할 수 있다.	② The registration agency verifies the identity of the applicant according to the law. However, in order to enhance safety, the registration agency may strengthen the identification of the applicant through the designation of a terminal or additional authentication.	② 등록기관은 법령에 따라 가입신청자의 신원을 확인합니다. 다만, 등록기관은 안전성을 높이기 위하여 기기 지정 또는 추가 인증절차를 통하여 가입신청자에 대한 검증절차를 강화할 수 있다.	② The registration agency confirms the identity of the applicant for membership in accordance with the law. However, the registration agency may strengthen the identification of the applicant for subscription through designation of a terminal or additional authentication to enhance safety.	Second, the registration agency checks the identity of the applicant in accordance with the law. However, in order to enhance safety, the registration agency may strengthen the confirmation of the applicant's identity through the designation of a terminal or additional authentication.	2 등록청은 법률에 따라 청약신청자의 신원을 확인하여야 한다. 다만, 등록청은 안전성을 높이기 위하여 단말기 지정 또는 추가 인증 절차를 통해 가입 신청자에 대한 검증 절차를 강화할 수 있다.
